match_id,team_1,team_2,league,date,winner
ESPORTSTMNT06_2823367,Fnatic,MAD Lions KOI,LEC,2023-07-22 17:00:48,Fnatic
ESPORTSTMNT06_2823368,Team Heretics,KOI,LEC,2023-07-22 18:05:20,Team Heretics
ESPORTSTMNT06_2823385,Fnatic,SK Gaming,LEC,2023-07-23 16:55:30,Fnatic
ESPORTSTMNT06_2823386,Team Heretics,Team BDS,LEC,2023-07-23 18:01:44,Team Heretics
ESPORTSTMNT06_2823396,G2 Esports,Excel Esports,LEC,2023-07-24 16:10:36,G2 Esports
ESPORTSTMNT06_2823406,G2 Esports,Excel Esports,LEC,2023-07-24 17:53:15,G2 Esports
ESPORTSTMNT06_2823408,Excel Esports,G2 Esports,LEC,2023-07-24 18:51:45,Excel Esports
ESPORTSTMNT06_2823469,Fnatic,Team Heretics,LEC,2023-07-28 16:12:30,Team Heretics
ESPORTSTMNT06_2823476,Team Heretics,Fnatic,LEC,2023-07-28 18:00:09,Fnatic
ESPORTSTMNT06_2823490,Fnatic,Excel Esports,LEC,2023-07-29 16:58:38,Excel Esports
